Player,Milestone Step,Total Games,Milestone Games,Career Average,Milestone Average,Difference,Hypothesis Supported
Reggie Miller,500,1389,50,18.2,22.22,4.02,Yes
Mitch Richmond,500,976,40,21.0,24.48,3.47,Yes
David Robinson,500,987,41,21.06,24.44,3.38,Yes
Shaquille O'Neal,500,1207,57,23.69,25.91,2.22,Yes
Gary Payton,500,1335,43,16.34,20.63,4.29,Yes
Allen Iverson,500,914,48,26.66,31.4,4.74,Yes
Kobe Bryant,500,1346,67,24.99,29.13,4.14,Yes
Kevin Garnett,500,1462,52,17.83,20.65,2.82,Yes
Ray Allen,500,1300,49,18.85,22.37,3.52,Yes
Dirk Nowitzki,500,1522,63,20.74,25.17,4.44,Yes
Paul Pierce,500,1343,52,19.66,25.48,5.83,Yes
Vince Carter,500,1541,51,16.7,22.51,5.81,Yes
Tim Duncan,500,1392,52,19.03,21.69,2.66,Yes
LeBron James,500,1562,84,27.01,29.71,2.71,Yes
Antawn Jamison,500,1083,40,18.51,22.43,3.92,Yes
Carmelo Anthony,500,1260,56,22.45,25.25,2.8,Yes
Dwyane Wade,500,1054,46,21.98,25.76,3.78,Yes
Joe Johnson,500,1277,40,15.98,19.23,3.24,Yes
Pau Gasol,500,1226,41,17.04,20.1,3.06,Yes
Kevin Durant,500,1123,61,27.22,29.26,2.04,Yes
James Harden,500,1151,55,24.05,29.76,5.71,Yes
Russell Westbrook,500,1237,52,21.18,26.15,4.97,Yes
Chris Paul,500,1284,43,17.0,20.42,3.42,Yes
LaMarcus Aldridge,500,1076,41,19.11,21.59,2.48,Yes
Stephen Curry,500,1026,50,24.74,29.76,5.02,Yes
