Player,Points Needed,Target,Season PPG,Last 5 PPG,Est Games (Seas),Est Games (L5)
Desmond Bane,3,6000,19.2,25.2,1,1
Julius Randle,7,14000,18.7,17.2,1,1
Jeff Green,10,18000,5.4,7.8,2,2
Collin Sexton,16,8000,18.4,21.4,1,1
Naz Reid,22,5000,14.2,11.6,2,2
Donovan Mitchell,35,14000,24.0,26.8,2,2
Jalen Williams,50,4000,21.6,26.2,3,2
Kelly Oubre Jr.,56,10000,15.1,18.0,4,4
Dennis Schröder,70,15000,18.4,10.2,4,7
Dwight Powell,116,5000,2.1,1.2,56,97
Marvin Bagley III,120,5000,4.9,5.8,25,21
Jaren Jackson Jr.,127,8000,22.2,19.0,6,7
Gary Harris,138,7000,3.0,6.2,46,23
Trey Murphy III,144,4000,21.2,17.0,7,9
Tyrese Maxey,149,7000,26.3,16.8,6,9
Steven Adams,149,7000,3.9,4.8,39,32
Luka Dončić,150,15000,28.1,34.4,6,5
Bogdan Bogdanović,161,8000,10.0,9.8,17,17
Ivica Zubac,165,7000,16.8,21.6,10,8
Stephen Curry,168,26000,24.5,21.6,7,8
Evan Mobley,169,5000,18.5,18.2,10,10
Georges Niang,170,5000,8.7,11.0,20,16
Deandre Ayton,174,7000,14.4,13.4,13,13
Daniel Gafford,175,5000,12.3,11.4,15,16
Draymond Green,178,8000,9.0,7.4,20,25
John Collins,182,8000,19.0,24.4,10,8
Nikola Jokić,187,17000,29.6,27.6,7,7
Gary Trent Jr.,190,7000,11.1,12.8,18,15
Dejounte Murray,197,8000,17.5,20.8,12,10
