Player,ID,Team,Current Goals,Target Milestone,Goals Needed,Verification (Total Pts)
Nick Paul,8477426,TBL,99,100,1,205
Trevor Moore,8479675,LAK,98,100,2,226
Miles Wood,8477425,CBJ,98,100,2,192
Zemgus Girgensons,8476878,TBL,96,100,4,200
Marcus Johansson,8475149,MIN,193,200,7,537
Elias Pettersson,8480012,VAN,193,200,7,479
Charlie Coyle,8475745,CBJ,193,200,7,503
Morgan Geekie,8479987,BOS,93,100,7,190
Roman Josi,8474600,NSH,192,200,8,734
Dylan Cozens,8481528,OTT,91,100,9,230
Nathan MacKinnon,8477492,COL,389,400,11,1061
Mattias Ekholm,8475218,EDM,88,100,12,373
Tage Thompson,8479420,BUF,188,200,12,347
Aleksander Barkov,8477493,FLA,286,300,14,782
John Klingberg,8475906,SJS,85,100,15,423
Jason Robertson,8480027,DAL,185,200,15,430
Ross Colton,8479525,COL,85,100,15,166
Mathew Dumba,8476856,PIT,85,100,15,261
