Player,Team,Needs,Target,Season Avg,Last 5 Avg,Est Games (Season Pace),Est Games (Hot/Cold Pace),Hist. Lift %
Nick Paul,TBL,1,100,0.4,0.2,3,5,-0.4%
Alexander Kerfoot,UTA,2,100,0.14,0.0,15,N/A,-100.0%
Alexis Lafrenière,NYR,2,100,0.21,0.4,10,5,-100.0%
Miles Wood,CBJ,2,100,0.0,0.4,N/A,5,-100.0%
Kyle Connor,WPG,2,300,0.38,0.6,6,4,-2.5%
Jordan Martinook,CAR,2,100,0.07,0.2,30,10,-100.0%
Tyler Toffoli,SJS,3,300,0.38,0.4,8,8,+40.5%
Trevor Moore,LAK,3,100,0.33,0.0,9,N/A,-100.0%
Colton Sissons,VGK,4,100,0.1,0.2,42,20,-100.0%
Jeff Petry,FLA,4,100,0.02,0.0,N/A,N/A,-100.0%
Zemgus Girgensons,TBL,4,100,0.0,0.2,N/A,20,-100.0%
Tom Wilson,WSH,5,200,0.3,0.8,17,7,+342.6%
Patrick Kane,DET,5,500,0.29,0.0,18,N/A,+86.7%
Radek Faksa,DAL,5,100,0.14,0.0,35,N/A,-100.0%
Anders Lee,NYI,6,300,0.35,0.2,17,30,-15.6%
Elias Pettersson,VAN,7,200,0.04,0.0,N/A,N/A,-100.0%
Marcus Johansson,MIN,7,200,0.0,0.0,N/A,N/A,+946.6%
Dawson Mercer,NJD,7,100,0.4,0.2,18,35,-100.0%
Josh Norris,BUF,7,100,0.33,0.67,21,11,-100.0%
Charlie Coyle,CBJ,7,200,0.14,0.2,49,35,+152.8%
Brady Tkachuk,OTT,8,200,0.67,0.2,12,40,-32.6%
Morgan Geekie,BOS,8,100,0.43,0.8,19,10,-100.0%
Roman Josi,NSH,8,200,0.17,0.2,48,40,+408.3%
Morgan Rielly,TOR,9,100,0.31,0.2,30,45,-100.0%
Sebastian Aho,CAR,9,300,0.47,0.0,20,N/A,-12.3%
Kasperi Kapanen,EDM,10,100,0.25,0.0,40,N/A,-100.0%
Lars Eller,OTT,10,200,0.0,0.0,N/A,N/A,-39.9%
Dylan Cozens,OTT,10,100,0.17,0.0,60,N/A,-100.0%
Nathan MacKinnon,COL,11,400,1.0,1.0,11,11,+61.2%
Taylor Hall,CAR,11,300,0.0,0.0,N/A,N/A,-100.0%
Steven Stamkos,NSH,11,600,0.33,0.6,34,19,-14.5%
Brandon Montour,SEA,11,100,0.22,0.4,50,28,-100.0%
Tage Thompson,BUF,12,200,0.58,0.0,21,N/A,-100.0%
Mattias Ekholm,EDM,12,100,0.14,0.2,84,60,-100.0%
Pius Suter,STL,12,100,0.31,0.2,39,60,-100.0%
Jared McCann,SEA,13,200,0.27,0.2,49,65,+20.3%
Darnell Nurse,EDM,14,100,0.14,0.0,N/A,N/A,-100.0%
Aleksander Barkov,FLA,14,300,0.26,0.0,54,N/A,+60.6%
Casey Mittelstadt,BOS,14,100,0.22,0.2,63,70,-100.0%
Jason Robertson,DAL,15,200,0.36,0.6,42,25,+117.3%
Nic Dowd,WSH,15,100,0.0,0.0,N/A,N/A,-100.0%
Ross Colton,COL,15,100,0.0,0.2,N/A,75,-100.0%
Bo Horvat,NYI,15,300,0.35,0.4,44,38,+47.4%
Pavel Buchnevich,STL,15,200,0.43,0.2,35,75,-25.5%
John Klingberg,SJS,15,100,0.05,0.2,N/A,75,-100.0%
Mathew Dumba,PIT,15,100,0.02,0.2,N/A,75,-100.0%
Josh Morrissey,WPG,15,100,0.0,0.0,N/A,N/A,-100.0%
