Player,Milestone Games,Milestone Avg,Career Avg,Diff,Pct Diff
Connor McDavid,8,0.75,0.503,0.247,48.99
Mark Messier,15,0.533,0.395,0.138,34.95
Phil Esposito,22,0.636,0.559,0.077,13.78
Steve Yzerman,25,0.52,0.457,0.063,13.77
Mike Gartner,29,0.552,0.494,0.057,11.59
Jaromir Jagr,26,0.462,0.442,0.02,4.42
Marcel Dionne,27,0.556,0.542,0.013,2.45
Mario Lemieux,14,0.714,0.754,-0.04,-5.28
Auston Matthews,19,0.579,0.632,-0.053,-8.44
Brett Hull,29,0.483,0.584,-0.101,-17.33
Gordie Howe,46,0.37,0.453,-0.084,-18.47
Wayne Gretzky,33,0.485,0.601,-0.116,-19.35
Alex Ovechkin,34,0.441,0.6,-0.159,-26.44
Sidney Crosby,40,0.325,0.467,-0.142,-30.4
